gene	AC_afr	AC_sas	AC_amr	AC_eas	AC_nfe	AC_fin	AC_asj	AC_main	AN_afr	AN_sas	AN_amr	AN_eas	AN_nfe	AN_fin	AN_asj	AN_main	U	tercile	shet_cassa
NAALAD2	16	15	31	20	26	2	0	108	15990.5714285714	29699.4857142857	33421.7714285714	18112.4	112365.371428571	21561.9428571429	9884	209589.6	1.98e-06	3	0.00444435
NAALADL1	20	5	7	8	41	4	1	81	15458	29566.6060606061	33409.1515151515	17740.7272727273	108267.333333333	20859.5757575758	9798.24242424242	204441.818181818	1.77e-06	3	0.0048791287
NAALADL2	4	4	5	3	102	7	9	118	14833.6666666667	28823.4444444444	32209.8888888889	17173.5555555556	107172	20960.5555555556	9579.11111111111	200212.555555556	1.96e-06	3	0.0027264053
NAB1	3	0	0	1	3	0	0	7	15795.7142857143	29422.8571428571	32884.2857142857	17721.1428571429	111796.857142857	21440	9944.85714285714	207620.857142857	1.06e-06	2	0.125202759
NAB2	0	2	0	1	0	1	1	3	15041	25056	30361	17051	100089.5	19143.5	7819.5	187598.5	1.07e-06	2	0.2369555014
NABP1	0	4	3	0	9	1	1	16	15440.25	29118.75	32269.25	17459.25	109524.25	21370.75	9682	203811.75	5.15e-07	1	0.0070517491
NACA	1	1	3	1	0	0	0	6	15194.5	22595	27653.5	16808.5	98657.5	19222.5	6758	180909	1.19e-06	2	0.0180447009
NACC2	1	0	2	0	0	0	0	3	15318	29796	33727	17797	109150	19633	9741	205788	8.59e-07	2	0.0449030446
NADK	70	1	17	3	8	0	0	99	12853.2307692308	27217.0769230769	30533.6923076923	15702.1538461538	92103.0769230769	19303.6923076923	9225.23076923077	178409.230769231	1.56e-06	3	0.0082082778
NADK2	1	1	1	0	3	0	1	6	13246	27543.1428571429	30903.7142857143	15856	99649.7142857143	17476.5714285714	9006.57142857143	187198.571428571	1.64e-06	3	0.1041697314
NADSYN1	6	8	9	6	41	8	1	70	15870.125	30120.25	34052.0625	18118	110877.625	21215.25	9964.9375	209038.0625	2.35e-06	3	0.0086558084
NAE1	3	6	4	2	11	1	0	26	15903.1538461538	28292.7692307692	31461.9230769231	17748.6153846154	110690	21305.7692307692	9501.92307692308	204096.461538462	2.13e-06	3	0.0165788538
NAF1	0	0	1	0	1	0	0	2	14473	27145	31843	17145	101453	20834	9529	192059	1.14e-06	2	0.1158886194
NAGA	1	8	3	1	15	0	0	28	16051.6666666667	30422.8888888889	34363.8888888889	18271.1111111111	112416.333333333	21148.4444444444	10028.1111111111	211525.888888889	1.1e-06	2	0.0136054735
NAGK	1	15	8	2	24	1	0	50	15970.4285714286	30240.1428571429	34315.8571428571	18216.4285714286	112107.714285714	21329.5714285714	10012	210850.571428571	1.06e-06	2	0.0040370173
NAGLU	4	6	5	1	21	0	0	37	15854	30344.375	34239	18192.875	111781.75	21096.5	9988	210412	1.78e-06	3	0.021095829
NAGPA	5	2	12	1	9	1	0	29	12996.6666666667	27824.7777777778	31143.6666666667	16140.7777777778	95081.5555555556	16668.6666666667	9043.66666666667	183187.444444444	1.07e-06	2	0.0074593939
NAGS	2	1	0	2	12	0	6	17	13689	28577.8571428571	32259.7142857143	16735	98625.1428571429	18736.5714285714	9529	189886.714285714	1.08e-06	2	0.0094654631
NAIF1	0	0	0	0	3	0	0	3	16248	30615	34585	18390	113644	20353	10077	213482	3.74e-07	1	0.0297524169
NALCN	3	9	7	4	30	3	2	53	16139.0243902439	29931.512195122	33700.7804878049	18170.0487804878	112575.609756098	21486.0975609756	9917.51219512195	210516.975609756	5.15e-06	3	0.0226457952
NAMPT	0	0	0	0	3	0	0	3	16164	30185.3333333333	33913.3333333333	18278	112732.666666667	21494.6666666667	9865.33333333333	211273.333333333	1.1e-06	2	0.1220197645
NANOS3	0	1	0	0	4	0	0	5	15548	30578.6666666667	34469.3333333333	17950	112152	20652.6666666667	10040.6666666667	210698	5.1e-07	1	0.0166369022
NANP	0	0	2	1	6	1	0	9	16211.7142857143	30293.4285714286	34337.7142857143	18347.4285714286	112876	21352.8571428571	10002.2857142857	212066.285714286	4.14e-07	1	0.0141272231
NANS	2	6	2	2	10	0	0	22	15955	30409.3333333333	34338.6666666667	18286.5	112569.666666667	21492	10011.5	211559.166666667	6.89e-07	1	0.0094935184
NAP1L1	0	0	0	0	0	1	0	0	15938	27564	31254	17706	109386	21158	9250	201848	1.21e-06	2	0.2607135846
NAP1L4	1	1	7	0	17	1	107	26	15461.6	30584.4	34468	17970	113142.8	21536.4	10066.8	211626.8	1.34e-06	2	0.0027531236
NAPA	0	3	1	0	1	0	0	5	16220	29613.2	34333.6	18377.2	111735.6	21266.8	9592.4	210279.6	1.02e-06	2	0.119127622
NAPB	0	0	1	1	3	0	0	5	16164.8	30479.6	34444	18367.2	113195.6	21628.4	10043.2	212651.2	9.52e-07	2	0.2232282864
NAPEPLD	0	1	8	1	6	0	0	16	16239.8	30352.4	34366.6	18367.6	113266.8	21633.4	10038.8	212593.2	8.87e-07	2	0.0234102153
NAPG	0	2	1	1	4	0	0	8	12886.6666666667	26515.6666666667	30229.3333333333	15511.6666666667	93630.6666666667	19791	9373.33333333333	178774	1.31e-06	2	0.0301063371
NAPSA	28	1	1	1	13	2	0	44	16157.125	30425.875	34244.375	18313.25	112867.25	21508.125	9972.625	212007.875	9.92e-07	2	0.0046386774
NARF	0	4	6	7	14	2	1	31	16212.6666666667	30299.5555555556	34260.5555555556	18318.3333333333	112857.555555556	21541.8888888889	9959.66666666667	211948.666666667	1.28e-06	2	0.0149060308
NARFL	3	7	4	6	14	0	0	34	14951.8823529412	28786	32851.7647058823	17328.7058823529	103938.235294118	20026.1176470588	9480.35294117647	197856.588235294	1.47e-06	3	0.0067289279
NARG2	3	5	7	9	14	2	0	38	15622.3571428571	27735.5	30449.7142857143	17323.3571428571	109166.071428571	20842.3571428571	9277.92857142857	200297	2.36e-06	3	0.0136327727
NARS	1	10	5	0	18	2	0	34	16209.3	30305.4	34197.5	18308	113091.4	21600.4	10036.4	212111.6	2.36e-06	3	0.0137027188
NARS2	2	1	5	4	13	1	0	25	16218	30460.625	34299.875	18348.625	113281.875	21519.75	10022.375	212609	1.51e-06	3	0.0172868436
