gene	AC_afr	AC_sas	AC_amr	AC_eas	AC_nfe	AC_fin	AC_asj	AC_main	AN_afr	AN_sas	AN_amr	AN_eas	AN_nfe	AN_fin	AN_asj	AN_main	U	tercile	shet_cassa
A1BG	2	4	9	3	8	0	0	26	13535.0769230769	27767.6923076923	31261.8461538462	16013.2307692308	94906	18892.9230769231	9129.38461538462	183483.846153846	1e-06	2	0.0067941873
A1CF	3	4	0	3	16	1	0	26	16178.3157894737	29613.5789473684	33776.2105263158	18215.0526315789	112025.263157895	21390.1052631579	9798.84210526316	209808.421052632	1.9e-06	3	0.0223128341
A2M	7	6	12	2	36	1	1	63	15299.7419354839	29853.1612903226	33740.5161290323	17773.3548387097	110526.774193548	21338.8387096774	9914.25806451613	207193.548387097	3.98e-06	3	0.0131856312
A3GALT2	101	7	16	0	9	0	0	133	10777.0769230769	25616.1538461538	27697.5384615385	13308.1538461538	84884.6153846154	16312.7692307692	8251.07692307692	162283.538461538	7.35e-07	2	0.0009017516
A4GALT	4	1	4	4	1	0	0	14	16133.5	30609.5	34567.75	18360.25	112987.75	21544.5	10041.5	212658.75	4.22e-07	1	0.0097130065
AAAS	13	10	9	2	50	1	0	84	16203.04	30601.44	34575.84	18384.88	113552.8	21620.72	10065.92	213318	1.97e-06	3	0.0044380677
AACS	14	11	28	27	29	0	0	109	16237.2413793103	30412.5517241379	34405.5862068966	18366.6206896552	113407.448275862	21526.6206896552	10048.7586206897	212829.448275862	1.61e-06	3	0.0033572206
AADAC	1	0	1	31	3	0	0	36	16023.6	30027.2	33816.8	18170.8	112593.6	21330.8	10019.6	210632	7.2e-07	1	0.0045577727
AADACL2	2	1	2	0	12	0	0	17	16148.6666666667	30447.3333333333	34312	18343.6666666667	113346.666666667	21636.3333333333	10057	212598.333333333	1.13e-06	2	0.0037165061
AADACL3	0	0	1	3	1	0	0	5	15392.6666666667	29024	33042.6666666667	17730	110614.666666667	21270.6666666667	9465.33333333333	205804	4.65e-07	1	0.0055439783
AADACL4	0	6	1	77	0	1	0	84	16216.3333333333	30091.6666666667	34115.3333333333	18337.6666666667	112635	21489.3333333333	9783.66666666667	211396	6.11e-07	1	0.0024078948
AADAT	0	1	1	1	3	0	0	6	15978.6666666667	28405	31399.3333333333	17678.3333333333	111188.666666667	21453	9704.66666666667	204650	1.02e-06	2	0.0461675482
AAED1	3	52	10	0	47	0	1	112	14666.2	27566.8	30817.2	16823.2	102637.4	20383.4	9477.4	192510.8	4.52e-07	1	0.0007529155
AAGAB	2	0	3	1	15	0	0	21	15397.2307692308	30454.1538461538	34391.0769230769	17929.8461538462	112475.230769231	21473.8461538462	10032.4615384615	210647.538461538	1.04e-06	2	0.0157106619
AAK1	0	1	0	0	1	0	0	2	14080	28267	30667	15478	100721	20279	9608	189213	2.48e-06	3	0.1290383347
AAMDC	1	2	2	16	7	1	0	28	16250.25	30586.75	34487.5	18383.5	113569.25	21639.5	10074	213277.25	3.47e-07	1	0.0029370186
AAMP	0	1	0	0	2	1	0	3	16105	28972.5	33903.5	18305.5	110105	20780	9278	207391.5	9.95e-07	2	0.0452357137
AANAT	4	2	0	1	1	0	0	8	16102.5	30528	34474.5	18348	112291.5	21207.5	10014.5	211744.5	3.93e-07	1	0.0064793177
AAR2	1	2	12	0	12	0	0	27	16238	30612.2222222222	34587.1111111111	18390	113589.111111111	21640.8888888889	10071.5555555556	213416.444444444	5.35e-07	1	0.0040798593
AARD	1	1	5	0	11	0	20	18	16114	30510	34354	18330	113228	21604	10036	212536	3.57e-07	1	0.004804911
AARS	1	4	9	3	19	3	0	36	16058.9090909091	30413	34372.8181818182	18253.4545454545	112412	21464.5454545455	10033.3636363636	211510.181818182	2.94e-06	3	0.02017962
AARS2	6	5	8	4	40	0	1	63	16050.0588235294	30458.2941176471	34407.8235294118	18287.5294117647	112598.117647059	21265.5294117647	10029.8235294118	211801.823529412	3.18e-06	3	0.0175747899
AARSD1	0	0	0	0	25	1	0	25	7780	23052	24788	11314	55948	15454	8426	122882	1.05e-06	2	0.0013374563
AASDH	6	4	7	2	13	3	1	32	15977.3846153846	29326.8461538462	33019.2307692308	17999.2307692308	111856.923076923	21482.4615384615	9875.15384615385	208179.615384615	2.14e-06	3	0.0173827347
AASDHPPT	2	1	1	0	3	0	0	7	15716.8	29049.6	31545.2	17658.8	110599.2	21415.2	9721.6	204569.6	8.99e-07	2	0.0616750491
AASS	3	12	2	1	23	0	0	41	16132.7692307692	30424.9230769231	34386.5384615385	18295.1538461538	112951.307692308	21506.9230769231	10026.5384615385	212190.692307692	1.96e-06	3	0.0115281583
AATF	2	5	6	2	58	5	45	73	16213.2	30492.5	34402.5	18357	113376.3	21623.8	10051.6	212841.5	1.61e-06	3	0.0088675972
ABAT	0	1	1	0	7	1	2	9	16079.75	30373.75	34443.25	18330.75	112895	21338.5	10029.25	212122.5	1.42e-06	2	0.0248019522
ABCA1	5	7	6	1	27	1	10	46	16241.488372093	30605.3953488372	34578.3255813954	18376.4651162791	113576.325581395	21616.6976744186	10072.8372093023	213378	5.82e-06	3	0.0267998609
ABCA12	3	8	14	5	47	0	6	77	16148.4583333333	30450.2083333333	34360.875	18267.875	113077.791666667	21483	10037.6666666667	212305.208333333	6.72e-06	3	0.020877427
ABCA2	1	3	0	3	7	2	1	14	14780.8333333333	30103.3333333333	33962.8333333333	17607.6666666667	109008.333333333	19708.8333333333	9851.83333333333	205463	5.41e-06	3	0.1050037175
ABCA3	4	4	6	2	14	1	0	30	15934.88	30313.52	34187.68	18161.76	111169.04	20976.8	9986.48	209766.88	3.57e-06	3	0.0194922044
ABCA4	9	35	11	13	93	4	2	161	16052.0681818182	30394.8181818182	34393.2272727273	18263.4545454545	112473.068181818	21334.1136363636	10029.1136363636	211576.636363636	5.98e-06	3	0.0075466304
ABCA5	12	14	21	17	39	4	0	103	15695.8461538462	28772.0769230769	32131.1923076923	17630	110186.923076923	21330.5	9664.38461538462	204416.038461538	4.32e-06	3	0.0087466973
ABCA6	18	11	13	20	50	5	2	112	15769.5217391304	28386.0869565217	31411.9130434783	17624	110005.782608696	21265	9525.91304347826	203197.304347826	3.66e-06	3	0.0072320526
ABCB1	3	0	4	2	13	2	1	22	16244.9523809524	30604	34561.8095238095	18380.8571428571	113509.047619048	21627.8095238095	10070.4761904762	213300.666666667	3.27e-06	3	0.0311575312
ABCB10	1	2	0	10	11	0	0	24	15287.4117647059	28821.0588235294	32541.0588235294	17309.1764705882	107004.823529412	20367.5294117647	9485.76470588235	200963.529411765	1.52e-06	3	0.0144641352
ABCB11	6	16	19	3	13	5	0	57	15114.4827586207	30039.1034482759	33838	17593.6551724138	110089.103448276	21303.7931034483	9955.65517241379	206674.344827586	3.21e-06	3	0.0127765274
ABCB4	8	8	3	5	12	1	1	36	16122	30491.5	34484.4166666667	18323.0833333333	113060.833333333	20894	10033.5833333333	212481.833333333	3.39e-06	3	0.0188697192
ABCB6	5	15	13	2	54	27	1	89	15571.6571428571	29899.6	33661.5428571429	17903.7142857143	109248.857142857	21086.9714285714	9795.88571428571	206285.371428571	2.51e-06	3	0.0056657511
ABCB8	2	20	8	24	17	1	0	71	16110.0740740741	30312.2962962963	34374.5185185185	18345.1851851852	111930.592592593	20955.2592592593	9861.25925925926	211072.666666667	1.75e-06	3	0.0071878206
ABCB9	0	4	7	1	7	3	0	19	16008.1818181818	30090.5454545455	34174	18255.2727272727	111407.090909091	21162.1818181818	9828.54545454545	209935.090909091	1.3e-06	2	0.0136694954
ABCC1	1	1	1	2	19	5	1	24	15235.0476190476	30200.5714285714	34004.0952380952	17756	111460	21282.9523809524	9993.33333333333	208655.714285714	3.78e-06	3	0.0252996316
ABCC10	52	13	18	7	55	2	0	145	16183.72	30532.08	34463.48	18369.56	113047.28	21410.76	10013.44	212596.12	3.54e-06	3	0.004950327
ABCC4	2	7	9	2	16	3	0	36	16063.4615384615	30194.4615384615	34143.2307692308	18231.3846153846	112666.230769231	21482	9982.69230769231	211298.769230769	3.45e-06	3	0.0201178544
ABCC5	3	4	2	2	10	0	0	21	15546.1	30343	34270.8	17951.1	112728.7	21515.4	10026.7	210839.7	3.88e-06	3	0.0429246255
ABCC8	1	14	17	4	56	5	0	92	15547.0612244898	29841.5918367347	33772.3265306122	17862.693877551	108943.714285714	20836.9387755102	9915.30612244898	205967.387755102	4.14e-06	3	0.0095667483
ABCD2	3	1	2	0	12	3	1	18	16032.8571428571	28993	32366.7142857143	17907.7142857143	111425.571428571	21373.7142857143	9688.14285714286	206725.857142857	1.43e-06	3	0.0116380888
ABCD3	1	3	1	0	10	0	5	15	16155.5714285714	30215.5714285714	34192.8571428571	18248.7142857143	112760.428571429	21573.7142857143	10005.2857142857	211573.142857143	2.91e-06	3	0.0696602155
ABCD4	2	5	1	3	21	4	0	32	16109.76	30493.44	34438.48	18330.8	113141.76	21532.64	10042.24	212514.24	1.94e-06	3	0.0089776716
ABCE1	0	1	2	0	1	7	0	4	15867	29291	32756.3333333333	17848	111481.333333333	21504.3333333333	9878	207243.666666667	2.17e-06	3	0.4145502253
ABCF1	4	6	8	2	22	3	5	42	15405.68	30379.92	34443.2	18293.2	110952.48	21506.32	9946.64	209474.48	2.94e-06	3	0.0112239723
ABCF2	2	0	4	2	3	2	0	11	16241.2727272727	30574	34516.9090909091	18382.3636363636	113607.272727273	21622.1818181818	10068.1818181818	213321.818181818	2.04e-06	3	0.1371875255
ABCF3	1	2	2	0	21	0	0	26	16179.375	29852.375	34036.625	18297.75	111943.875	21254.875	9734.5	210310	1.99e-06	3	0.012484962
ABCG1	3	1	3	2	7	0	0	16	16005.25	30504.5	34484.75	18376.75	112889.5	21498.5	10017.5	212260.75	1.4e-06	2	0.0227807344
ABCG4	1	3	0	3	20	0	0	27	16196.1333333333	30318.1333333333	34294	18354	112819.466666667	21506.5333333333	9893.46666666667	211981.733333333	1.29e-06	2	0.010818687
ABCG5	4	27	10	36	31	8	0	108	15936.4137931034	30275.1034482759	34208	18139.2413793103	111541.586206897	21406.8965517241	10008.275862069	210100.344827586	1.55e-06	3	0.002950549
ABHD1	19	14	2	60	57	0	0	152	16246.6923076923	30599.3076923077	34560.8461538462	18390.6923076923	113561.846153846	21537	10058.0769230769	213359.384615385	1.04e-06	2	0.0014005348
ABHD10	2	6	3	1	14	0	0	26	16044.8	30425.4	34216.2	18287	112192.6	21420.4	9999.6	211166	9.56e-07	2	0.0108143266
ABHD11	2	0	4	2	6	0	0	14	15767.2	29870	33970	18216	110573.2	21018	9704	208396.4	9.51e-07	2	0.008828617
ABHD12	0	5	7	0	9	0	0	21	13597.5	28022.6666666667	31033.3333333333	15602.8333333333	98814.1666666667	18614.8333333333	9424.33333333333	187070.5	1.42e-06	2	0.01428289
ABHD13	0	0	0	1	0	0	0	1	16216	30600	34510	18384	112770	21628	10058	212480	6.33e-07	1	0.0476309864
ABHD14A	0	1	0	4	5	0	0	10	16157	30545.3333333333	34513.6666666667	18370.6666666667	111449.333333333	21598	9958.66666666667	211036	6.21e-07	1	0.0083110556
ABHD15	7	3	15	1	18	0	0	44	13264.3333333333	27847.1666666667	31444.1666666667	16158.3333333333	96384.3333333333	17619.5	9035.5	185098.333333333	1.05e-06	2	0.0063099329
ABHD16A	1	1	2	0	8	8	0	12	15415.7777777778	30390.6666666667	34421.5555555556	18314.2222222222	111138	21529.5555555556	9932	209680.222222222	2.15e-06	3	0.0279313957
ABHD17B	0	0	1	2	1	0	0	4	15818.6666666667	30122	33999.3333333333	18220	112379.333333333	21554.6666666667	9951.33333333333	210539.333333333	7.38e-07	2	0.2094737633
ABHD2	0	2	0	0	1	0	1	3	16253	30610.5	34574.5	18389	113545.5	21631.5	10069	213372.5	9.66e-07	2	0.0686867517
ABHD3	3	7	4	0	19	1	0	33	16042.25	29680	33253	18149.875	112051.875	21534.125	9871.625	209177	1.07e-06	2	0.0068629825
ABHD4	3	5	8	7	13	0	0	36	16182.8	30005.8666666667	34334.9333333333	18356.8	112300.8	21457.3333333333	9820.26666666667	211181.2	1.25e-06	2	0.0090057576
ABHD5	3	2	2	5	9	0	0	21	15772.9230769231	30260.4615384615	34072.9230769231	17863.3846153846	111759.846153846	21460	9954	209729.538461538	1.35e-06	2	0.0127956452
ABHD6	0	0	3	0	9	1	0	12	16151.5555555556	29865.7777777778	33395.5555555556	18143.1111111111	112399.777777778	21522.2222222222	9846.88888888889	209955.777777778	7.7e-07	2	0.0171948694
ABHD8	0	1	0	0	0	0	0	1	15300	30556	34378	17882	108836	20848	9880	206952	9.06e-07	2	0.2271856729
ABI1	0	1	0	1	1	0	2	3	15330.5	27126.5	29651.5	16929.5	106815	21098.5	9407	195853	1.42e-06	2	0.0452335486
ABI2	0	0	1	0	3	0	0	4	14671.5	27522	30187.5	16467	106564	21225.5	9233	195412	1.29e-06	2	0.0763414701
ABI3	1	5	2	0	4	0	0	12	14270.8888888889	28579.1111111111	32048	16698.4444444444	100099.555555556	19814.8888888889	9614.22222222222	191696	7.99e-07	2	0.0166779123
ABI3BP	1	4	2	5	26	0	2	38	15042.9	28961.2	32941.9	17367.6	109366.4	21188.2	9625.8	203680	3.54e-06	3	0.0064979111
ABL1	0	0	2	0	0	0	0	2	15598	30568	34472	18217	111709	21198	9988	210564	2.25e-06	3	0.1424530963
ABL2	7	8	8	1	73	3	0	97	16245.8	30551.7	34493.1	18379.5	113388.9	21630.2	10068.2	213059	2.9e-06	3	0.0070840025
ABLIM1	0	3	1	2	4	1	0	10	16167.5555555556	30393.7777777778	34390.6666666667	18287.5555555556	113324.444444444	21030.4444444444	10044.2222222222	212564	2.38e-06	3	0.0361679449
ABLIM2	0	1	2	2	8	2	0	13	14403.2307692308	29295.3846153846	33296.4615384615	17263.5384615385	107254.307692308	20929.3846153846	9814.76923076923	201512.923076923	2.48e-06	3	0.0536402377
ABLIM3	0	4	10	1	17	2	0	32	16203.9047619048	30537.3333333333	34461.1428571429	18315.7142857143	113324.285714286	21630.6666666667	10047.8095238095	212842.380952381	2.62e-06	3	0.016766673
ABR	0	0	0	0	7	1	1	7	15889.4	30120.6	34110.2	18190.8	111119.6	21155.8	9964.8	209430.6	2.26e-06	3	0.2112935314
ABRA	2	0	12	7	4	0	0	25	16235	30520	34541.2	18388.8	113426	21607.2	10024.8	213111	8.42e-07	2	0.0084149813
ABRACL	0	0	0	0	1	0	0	1	15482	30594	34472	17968	113118	21558	10066	211634	2.23e-07	1	0.0415762878
ABT1	0	1	2	0	2	0	0	5	16197.5	30597	34565.5	18388	113147	21600	10055	212895	3.91e-07	1	0.0188027084
ABTB2	1	3	2	2	6	1	1	14	15135.0769230769	29418.3076923077	33284.9230769231	17547.0769230769	106376.153846154	20181.5384615385	9753.53846153846	201761.538461538	2.28e-06	3	0.0420421773
AC004381.6	4	2	1	16	18	2	0	41	15994.1111111111	28771.3333333333	31954.3333333333	17768.6666666667	110779.333333333	21270.3333333333	9475.22222222222	205267.777777778	1.68e-06	3	0.0074613334
AC006435.1	1	1	5	0	12	10	0	19	15403	30427	34214	17880.6666666667	110793.333333333	21464	9954	208718	3.57e-07	1	0.0017340904
AC010441.1	0	0	0	1	2	0	0	3	15492	30602	34522	17976	112750	21517	10060	211342	3.5e-07	1	0.0026532591
AC110615.1	0	0	0	0	1	0	0	1	16176	29948	33784	18258	113238	21622	10052	211404	1.48e-07	1	0.1588207481
ACAA1	1	6	3	3	12	4	0	25	16183.375	29476.125	33685.875	18218.75	111189.25	21307.625	9544.375	208753.375	1.17e-06	2	0.0072793863
ACAA2	25	6	13	0	8	0	0	52	16230.1538461538	30463.5384615385	34237.6923076923	18351.3846153846	113416.615384615	21619.2307692308	10032.4615384615	212699.384615385	1.04e-06	2	0.0038913345
ACACA	6	2	5	1	8	1	0	22	16247.6666666667	30596.2222222222	34572.5555555556	18380.1111111111	113621.777777778	21551	10074.4444444444	213418.333333333	7.24e-06	3	0.1115142154
ACAD8	0	8	14	2	24	1	0	48	15740.1904761905	30159.2380952381	34145.5238095238	18070.2857142857	110860.571428571	21110.380952381	9958.09523809524	208975.80952381	1.52e-06	3	0.0091031754
ACAD9	3	3	0	0	12	0	1	18	16058.875	30410.5	34439.625	18284.625	112910.25	21520.375	10033	212103.875	1.67e-06	3	0.018373536
ACADL	3	10	1	6	38	0	5	58	15208.380952381	29764.9523809524	33518.0952380952	17598	107093.333333333	20145.619047619	9863.04761904762	203182.761904762	1.41e-06	2	0.0056796841
ACADM	3	4	2	1	12	2	0	22	15873.6842105263	29913.4736842105	33784.4210526316	17940.9473684211	111598.736842105	21481.6842105263	9809.57894736842	209111.263157895	1.33e-06	2	0.0083703659
ACADS	1	7	0	0	12	0	0	20	16127.1666666667	30600.3333333333	34557.8333333333	18350.3333333333	113089.166666667	20585.5	10053.8333333333	212724.833333333	9.71e-07	2	0.0141341451
ACADSB	23	5	20	31	83	2	1	162	15205.1578947368	29154.4210526316	32467.5789473684	17170.9473684211	107396.210526316	20454.2105263158	9645.26315789474	201394.315789474	1.05e-06	2	0.0014651312
ACADVL	9	3	3	5	11	0	0	31	15459.28	29948.88	33745.2	17760.16	108348.16	20188.8	9897.44	205261.68	1.77e-06	3	0.016278025
ACAN	3	0	0	1	2	0	1	6	15496.3333333333	30595.3333333333	34507.6666666667	17987.3333333333	112719	21183.6666666667	10050.3333333333	211305.666666667	3.54e-06	3	0.1349600877
ACAP1	2	2	8	0	6	5	0	18	14528.8	28612	31955.6	16907.2	101847.2	20111.6	9466.2	193850.8	2.52e-06	3	0.0246693053
ACAP2	1	0	0	0	7	0	0	8	14798	28759.1111111111	32308.4444444444	17003.5555555556	105760.666666667	20890	9719.11111111111	198629.777777778	2.81e-06	3	0.1136444694
ACAP3	2	2	0	3	9	0	2	16	13534	27652.5882352941	31034.3529411765	16214.3529411765	94810	18573.8823529412	9085.88235294118	183245.294117647	2.1e-06	3	0.0184412695
ACAT1	4	4	1	4	10	1	0	23	16110.4285714286	30250.5714285714	34277.8571428571	18289	113074.428571429	21521	10015.1428571429	212002.285714286	9.48e-07	2	0.0103070957
ACAT2	0	1	2	2	13	0	0	18	16109.3333333333	30269.6666666667	34155.6666666667	18287	112409.5	21029.6666666667	9969	211231.166666667	7.64e-07	2	0.0089882908
ACBD3	0	2	1	1	5	0	0	9	15940.2222222222	30084.4444444444	33772.2222222222	17982.8888888889	110657.777777778	21492.4444444444	9979.33333333333	208437.555555556	1.69e-06	3	0.0518524382
ACBD4	0	5	2	8	9	0	1	24	15289.4285714286	30531.1428571429	34360.5714285714	17898	111922.571428571	21215.4285714286	9968.85714285714	210001.714285714	1.16e-06	2	0.0069422368
ACBD5	0	3	5	0	21	1	1	29	16244.4444444444	30611.7777777778	34589.3333333333	18392.8888888889	113645.555555556	21621.7777777778	10076.2222222222	213484	1.43e-06	3	0.0123406324
ACBD6	3	0	0	1	8	0	0	12	16214	30531.4545454545	34523.6363636364	18374	113402	21556.1818181818	10062.1818181818	213045.090909091	7.93e-07	2	0.0176100587
ACCS	0	2	4	3	17	0	0	26	16214.7142857143	30530.5714285714	34532.7142857143	18383.7142857143	113353.571428571	21562.2857142857	10052	213015.285714286	1.16e-06	2	0.0143660399
ACCSL	1	4	7	12	34	1	0	58	15270.9090909091	29912.6363636364	33770.7272727273	17639	111572.272727273	20980.8181818182	9857.36363636364	208165.545454545	1.33e-06	2	0.0042231714
ACD	6	1	4	6	17	1	0	34	15839.7142857143	30526.8571428571	34458.8571428571	18294.5714285714	111731.428571429	21467.4285714286	9955.57142857143	210851.428571429	1.44e-06	3	0.0057712362
ACE	5	5	6	6	35	2	0	57	15737.5757575758	30230.1818181818	34198.3636363636	18138.303030303	111119.333333333	21142.7272727273	9960.12121212121	209423.757575758	3.49e-06	3	0.0081787408
ACE2	0	0	0	1	1	0	1	2	12106.6666666667	14567.6666666667	22011	11883	74728.3333333333	15468.3333333333	6492.66666666667	135296.666666667	2.26e-06	3	0.1924468162
ACER1	1	3	0	1	9	0	1	14	15774.3333333333	29994.3333333333	33993	18107.3333333333	110634.333333333	21098	9943.66666666667	208503.333333333	5.72e-07	1	0.0145767347
ACER2	3	0	0	0	3	0	0	6	15625.2	29997.6	34070	18110.4	110753.2	21018.4	9941.2	208556.4	7.02e-07	1	0.0318744313
ACER3	0	0	0	0	5	0	0	5	15417.3333333333	27716	30890	17116	109455.333333333	21399.3333333333	9740.66666666667	200594.666666667	1.09e-06	2	0.0317323966
ACHE	0	0	0	0	1	0	1	1	15418	16104	22978	15964	88422	17444	4024	158886	1.44e-06	3	0.2613972917
ACIN1	1	2	1	2	5	0	0	11	16209	30490.5	34483.25	18374	113291	21597.75	10012	212847.75	4.16e-06	3	0.1289188893
ACKR2	0	0	5	0	5	0	0	10	16249.6	30606	34580	18394	113526.8	21636	10063.2	213356.4	4.05e-07	1	0.0112289494
ACKR3	1	0	0	0	1	0	0	2	16254	30614	34592	18394	113759	21618	10078	213613	4.23e-07	1	0.0343874279
ACKR4	1	30	9	1	13	7	0	54	15802.6666666667	30336	34380.8333333333	18218.6666666667	111884.5	21508.6666666667	9949.83333333333	210622.666666667	5.54e-07	1	0.0146326995
ACLY	3	0	2	1	11	0	1	17	16201.4666666667	30531.8666666667	34488	18334.4	113440.8	21591.2	10059.7333333333	212996.533333333	3.25e-06	3	0.0216183613
ACMSD	5	5	9	8	9	0	0	36	15932.6666666667	29938.1333333333	33500.5333333333	18010.5333333333	112381.2	21543.7333333333	9930.13333333333	209763.066666667	9.95e-07	2	0.0051978694
ACN9	0	1	0	0	5	0	0	6	16255	30610	34576	18392	112511	21637.5	10074	212344	3.11e-07	1	0.0146803857
ACO1	5	11	2	8	45	3	12	71	16153.8857142857	30075.4285714286	33916.4	18213.6571428571	112855.428571429	21577.6571428571	9989.6	211214.8	2.72e-06	3	0.0097876766
ACO2	0	3	1	1	5	0	0	10	16204	30404.4444444444	34398	18368.6666666667	112492.888888889	21502.2222222222	9948	211868	1.77e-06	3	0.0464811983
ACOT1	1	2	4	0	5	0	0	12	8410	19560.8571428571	19409.7142857143	5309.42857142857	57421.4285714286	9225.71428571429	6059.71428571429	110111.428571429	6.89e-07	1	0.0158623032
ACOT11	23	24	19	7	44	0	1	117	15821.1034482759	29983.6551724138	33865.1724137931	18010.6896551724	110774.413793103	20930.8275862069	9924.48275862069	208455.034482759	2.05e-06	3	0.0040857971
ACOT12	7	36	7	20	82	0	0	152	14939.04	28263.76	31467.44	16862.24	105823.2	20088.56	9474.72	197355.68	1.76e-06	3	0.0023875885
ACOT13	1	2	0	0	6	1	0	9	15976.2857142857	28045.7142857143	31559.7142857143	17824.8571428571	110496.857142857	21432	9574.57142857143	203903.428571429	3.1e-07	1	0.0054854136
ACOT2	3	1	0	1	7	0	0	12	14006.8888888889	27768	31535.1111111111	16872.2222222222	99171.7777777778	18463.7777777778	9016.88888888889	189354	8.44e-07	2	0.0205917604
ACOT4	2	5	3	0	14	1	0	24	13579.3333333333	27970	31607	16462.5	99783.3333333333	18989.3333333333	9241.16666666667	189402.166666667	6.72e-07	1	0.0023649657
ACOT6	0	1	1	0	3	0	0	5	16044.5	28082	31775.5	17881.5	109399	20979	9101.5	203182.5	2.55e-07	1	0.0093784309
ACOT7	0	1	0	0	0	0	0	1	16220	30144	33588	18242	111234	20814	9790	209428	8.97e-07	2	0.0585104775
ACOT8	9	11	3	1	23	0	0	47	16096.7272727273	30308.5454545455	34116	18295.2727272727	112069.272727273	21396	9879.27272727273	210885.818181818	1.11e-06	2	0.0041872297
ACOT9	0	1	3	3	15	4	1	22	12969.2142857143	18008.0714285714	26519.2142857143	13582.8571428571	80679.9285714286	15910.6428571429	7307.5	151759.285714286	1.46e-06	3	0.0064838116
ACOX1	2	2	0	1	7	0	0	12	16255.5555555556	30615.5555555556	34590.2222222222	18394	113727.777777778	21643.1111111111	10079.1111111111	213583.111111111	1.81e-06	3	0.0297255602
ACOX2	7	5	1	5	20	1	0	38	16215.3333333333	30443.1428571429	34383.4285714286	18361.9047619048	113279.047619048	21603.0476190476	10024	212682.857142857	1.55e-06	3	0.008482614
ACP1	5	5	2	2	3	0	0	17	16163.6363636364	30426.7272727273	34432.1818181818	18352.9090909091	113405.272727273	21635.6363636364	10047.4545454545	212780.727272727	4.77e-07	1	0.010259507
ACP2	4	5	4	0	8	0	0	21	15489.4	29244.6	33544.4	18017.2	108761.4	20711.8	9623.6	205057	1.07e-06	2	0.0108116214
ACP5	0	1	6	0	0	0	0	7	16081.5	30593.5	34540.5	18342	111998	21181.5	10031	211555.5	6.98e-07	1	0.0536614222
ACP6	0	6	12	3	9	2	8	30	14599.8947368421	28933.2631578947	32634.2105263158	17076.6315789474	102519.157894737	20380	9682.42105263158	195763.157894737	9.9e-07	2	0.0077333077
ACPL2	0	2	0	1	5	0	0	8	16222.8571428571	30614.2857142857	34583.1428571429	18392.2857142857	113648.571428571	21644.8571428571	10072.8571428571	213461.142857143	7.93e-07	2	0.0369482126
ACPP	2	14	15	4	34	0	0	69	16201.8260869565	30277.7391304348	34187.3043478261	18302.4347826087	113233.652173913	21567.8260869565	10016.2608695652	212202.956521739	1.21e-06	2	0.0057650498
ACPT	2	25	6	7	16	0	0	56	14483.9047619048	28984.6666666667	32557.1428571429	17063.8095238095	101737.238095238	19886.4761904762	9597.90476190476	194826.761904762	1.05e-06	2	0.0031876281
ACR	0	0	1	0	6	0	0	7	15782	27732	32406.4	17956.8	108195.6	20692.8	8876.8	202072.8	1.21e-06	2	0.0220271186
ACRBP	2	20	10	4	12	1	27	48	16210.3	30590.2	34517.4	18375	113297.1	21083.1	10064	212990	1.63e-06	3	0.0084619478
ACRC	0	0	0	0	2	0	0	2	9184	12593	19221	9982	66483	13795	6253	117463	1.29e-06	2	0.222498622
ACRV1	1	0	4	0	12	0	1	17	16220	30581.7777777778	34540.8888888889	18388.6666666667	113273.111111111	21612.8888888889	10054.4444444444	213004.444444444	5.73e-07	1	0.0062439982
ACSBG1	0	4	2	0	11	2	2	17	16217.8461538462	30483.5384615385	34511.3846153846	18368.9230769231	113012.769230769	20905.6923076923	10004.6153846154	212594.461538462	1.59e-06	3	0.0137734945
ACSF2	3	2	5	3	49	1	0	62	16143.5714285714	30461.1428571429	34426.7142857143	18348.4285714286	112962.857142857	21552.2857142857	10035	212342.714285714	1.84e-06	3	0.0083741845
ACSF3	2	25	11	18	30	1	0	86	15845.2941176471	30289.8235294118	34029.7647058823	18057.2352941176	111339.117647059	21200.7647058824	9988	209561.235294118	1.28e-06	2	0.0032492582
ACSL1	1	1	4	1	6	6	0	13	16049.2857142857	29670.1428571429	33584.7142857143	18129	111134.428571429	21270.7142857143	9682	208567.571428571	2.43e-06	3	0.0329302307
ACSL3	0	0	1	2	8	2	0	11	16142.9230769231	30184.3076923077	33912.4615384615	18248.9230769231	112916.769230769	21595.2307692308	9990.92307692308	211405.384615385	2e-06	3	0.0420407377
ACSL4	1	0	0	0	3	2	0	4	13055.3333333333	18317.3333333333	26916.3333333333	13742.6666666667	81087.3333333333	15373	7392	153119	1.95e-06	3	0.3416088745
ACSL5	2	3	5	1	14	2	0	25	16204.2105263158	30480.7368421053	34390.8421052632	18330.7368421053	113390.105263158	21619.7894736842	10043.7894736842	212796.631578947	1.91e-06	3	0.0244775684
ACSL6	2	5	0	1	13	1	1	21	16205.3846153846	30561.6923076923	34498.7692307692	18369.6923076923	113140.615384615	21566.4615384615	10041.8461538462	212776.153846154	2.01e-06	3	0.0241905582
ACSM1	5	8	6	7	64	0	0	90	16176.9166666667	30213	33964	18231.6666666667	112875.833333333	21553	9930.91666666667	211461.416666667	1.78e-06	3	0.0043504215
ACSM5	18	15	16	14	26	2	2	89	16181.7931034483	30443.8620689655	34329.724137931	18295.3103448276	113103.862068966	21589.724137931	10041.9310344828	212354.551724138	1.58e-06	3	0.0052159292
